location,model,horizon,target_date,metric,value
AL,historical_drift,2,2024-02-24,dev,620.0598009999998
AL,historical_drift,2,2024-02-24,wis,24.992859130434784
AL,historical_drift,2,2024-03-02,dev,1101.5760999999998
AL,historical_drift,2,2024-03-02,wis,23.74524260869565
AL,historical_drift,2,2024-03-09,dev,1387.711504
AL,historical_drift,2,2024-03-09,wis,24.325401304347828
AL,historical_drift,2,2024-03-16,dev,14.047504000000036
AL,historical_drift,2,2024-03-16,wis,17.645701304347828
AL,historical_drift,2,2024-03-23,dev,1393.454241
AL,historical_drift,2,2024-03-23,wis,21.19077
AL,historical_drift,2,2024-03-30,dev,16.908544000000017
AL,historical_drift,2,2024-03-30,wis,12.931576521739128
AL,historical_drift,2,2024-04-06,dev,454.5424
AL,historical_drift,2,2024-04-06,wis,15.46719913043478
AL,historical_drift,2,2024-04-13,dev,313.219204
AL,historical_drift,2,2024-04-13,wis,12.512670434782606
AL,historical_drift,2,2024-04-20,dev,3.5268840000000004
AL,historical_drift,2,2024-04-20,wis,6.7472382608695645
AL,historical_drift,3,2023-10-28,dev,3.319683999999997
AL,historical_drift,3,2023-10-28,wis,10.263428260869564
AL,historical_drift,3,2023-11-04,dev,108.88922500000004
AL,historical_drift,3,2023-11-04,wis,9.468057826086955
AL,historical_drift,3,2023-11-11,dev,308.14291600000007
AL,historical_drift,3,2023-11-11,wis,13.577091304347828
AL,historical_drift,3,2023-11-18,dev,293.67676900000004
AL,historical_drift,3,2023-11-18,wis,17.593751304347826
AL,historical_drift,3,2023-11-25,dev,584.5756839999999
AL,historical_drift,3,2023-11-25,wis,19.971282173913043
AL,historical_drift,3,2023-12-02,dev,6.656399999999991
AL,historical_drift,3,2023-12-02,wis,14.70803086956522
AL,historical_drift,3,2023-12-09,dev,158.20608400000006
AL,historical_drift,3,2023-12-09,wis,19.49802347826087
AL,historical_drift,3,2023-12-16,dev,3.880899999999996
AL,historical_drift,3,2023-12-16,wis,19.36279608695652
AL,historical_drift,3,2023-12-23,dev,697.1184089999996
AL,historical_drift,3,2023-12-23,wis,27.71552565217392
AL,historical_drift,3,2023-12-30,dev,2082.4619559999987
AL,historical_drift,3,2023-12-30,wis,42.83782130434783
AL,historical_drift,3,2024-01-06,dev,2619.8018560000028
AL,historical_drift,3,2024-01-06,wis,49.10392521739133
AL,historical_drift,3,2024-01-13,dev,6649.097763999996
AL,historical_drift,3,2024-01-13,wis,50.86046913043479
AL,historical_drift,3,2024-01-20,dev,9810.308209000004
AL,historical_drift,3,2024-01-20,wis,78.28789478260869
AL,historical_drift,3,2024-01-27,dev,65201.06902500001
AL,historical_drift,3,2024-01-27,wis,154.0423804347826
AL,historical_drift,3,2024-02-03,dev,46344.61728400001
AL,historical_drift,3,2024-02-03,wis,131.94639130434783
AL,historical_drift,3,2024-02-10,dev,72832.515625
AL,historical_drift,3,2024-02-10,wis,191.7646439130435
AL,historical_drift,3,2024-02-17,dev,12100.660008999996
AL,historical_drift,3,2024-02-17,wis,64.09330347826088
AL,historical_drift,3,2024-02-24,dev,2747.0177440000007
AL,historical_drift,3,2024-02-24,wis,35.03257869565217
AL,historical_drift,3,2024-03-02,dev,46.389721000000094
AL,historical_drift,3,2024-03-02,wis,23.424122608695647
AL,historical_drift,3,2024-03-09,dev,2520.843264
AL,historical_drift,3,2024-03-09,wis,27.84117913043477
AL,historical_drift,3,2024-03-16,dev,1755.274816
AL,historical_drift,3,2024-03-16,wis,24.46095391304348
AL,historical_drift,3,2024-03-23,dev,153.68560900000014
AL,historical_drift,3,2024-03-23,wis,19.32557391304348
AL,historical_drift,3,2024-03-30,dev,279.959824
AL,historical_drift,3,2024-03-30,wis,14.025710869565216
AL,historical_drift,3,2024-04-06,dev,280.4955039999999
AL,historical_drift,3,2024-04-06,wis,14.940565652173914
AL,historical_drift,3,2024-04-13,dev,126.495009
AL,historical_drift,3,2024-04-13,wis,13.139430000000004
AL,historical_drift,3,2024-04-20,dev,6.780815999999996
AL,historical_drift,3,2024-04-20,wis,8.470891304347827
AK,historical_drift,0,2023-10-07,dev,0.7310250000000007
AK,historical_drift,0,2023-10-07,wis,1.8225778260869567
AK,historical_drift,0,2023-10-14,dev,1.2254490000000005
AK,historical_drift,0,2023-10-14,wis,1.7223508695652172
AK,historical_drift,0,2023-10-21,dev,85.63651599999999
AK,historical_drift,0,2023-10-21,wis,5.390841739130434
AK,historical_drift,0,2023-10-28,dev,5.9780250000000015
AK,historical_drift,0,2023-10-28,wis,2.053293913043478
AK,historical_drift,0,2023-11-04,dev,69.62233600000002
AK,historical_drift,0,2023-11-04,wis,4.814256956521739
AK,historical_drift,0,2023-11-11,dev,0.3294760000000019
AK,historical_drift,0,2023-11-11,wis,1.550741739130435
AK,historical_drift,0,2023-11-18,dev,61.49696399999998
AK,historical_drift,0,2023-11-18,wis,4.476512608695652
AK,historical_drift,0,2023-11-25,dev,628.5049
AK,historical_drift,0,2023-11-25,wis,19.61202434782609
AK,historical_drift,0,2023-12-02,dev,1.6052889999999986
AK,historical_drift,0,2023-12-02,wis,2.098391739130435
AK,historical_drift,0,2023-12-09,dev,11.6964
AK,historical_drift,0,2023-12-09,wis,2.7137091304347822
AK,historical_drift,0,2023-12-16,dev,14.379264000000012
AK,historical_drift,0,2023-12-16,wis,4.6583239130434775
AK,historical_drift,0,2023-12-23,dev,327.356649
AK,historical_drift,0,2023-12-23,wis,10.288732608695652
AK,historical_drift,0,2023-12-30,dev,1.5850810000000009
AK,historical_drift,0,2023-12-30,wis,5.051250869565217
AK,historical_drift,0,2024-01-06,dev,1.6179840000000003
AK,historical_drift,0,2024-01-06,wis,5.160880000000001
AK,historical_drift,0,2024-01-13,dev,7.177040999999999
AK,historical_drift,0,2024-01-13,wis,2.194991304347826
AK,historical_drift,0,2024-01-20,dev,0.2540159999999996
AK,historical_drift,0,2024-01-20,wis,2.4893291304347827
AK,historical_drift,0,2024-01-27,dev,1.635841
AK,historical_drift,0,2024-01-27,wis,2.8600991304347825
AK,historical_drift,0,2024-02-03,dev,2.8662489999999985
AK,historical_drift,0,2024-02-03,wis,3.226172173913044
AK,historical_drift,0,2024-02-10,dev,0.2007040000000003
AK,historical_drift,0,2024-02-10,wis,2.8085226086956525
AK,historical_drift,0,2024-02-17,dev,3.115225000000002
AK,historical_drift,0,2024-02-17,wis,3.17960695652174
AK,historical_drift,0,2024-02-24,dev,46.076944000000005
AK,historical_drift,0,2024-02-24,wis,4.431462608695651
AK,historical_drift,0,2024-03-02,dev,15.077689
AK,historical_drift,0,2024-03-02,wis,2.250123043478261
AK,historical_drift,0,2024-03-09,dev,48.511225
AK,historical_drift,0,2024-03-09,wis,3.704508260869565
AK,historical_drift,0,2024-03-16,dev,10.876804
AK,historical_drift,0,2024-03-16,wis,3.2315230434782616
